income,expenses,emi,savings,stress_score
120861,38083,45611,700470,5.850232912188382
116588,82942,59516,754,55.95747418259169
28519,9274,11027,74332,18.693502577229218
72340,15566,40148,71062,28.046862040364942
90037,52970,42729,428262,24.615991203616286
16049,12860,4797,37107,40.460153280578226
63671,61897,11279,143096,44.45556061629313
95080,32428,27495,44186,26.29648716870004
143136,130918,20606,424798,36.6515062597809
21077,8395,9620,112476,13.1719409783176
58739,19834,25155,99731,25.523842762049064
94933,80261,19817,143158,43.082384418484615
15703,12578,3184,41379,34.984716296249125
100834,70406,15817,581380,16.186306206239962
89547,75529,14710,220357,36.439690888583655
143278,12539,69270,367899,10.87574505506777
148269,17736,2518,846124,0.0
108679,5988,34237,291011,1.9674914196854942
54527,40943,31684,269432,36.08029049828525
36350,25890,5069,7672,40.13480055020633
120967,85690,41176,342507,34.87732191424108
50215,44054,26420,240042,41.00945932490292
121626,53926,45662,336692,23.344679591534703
136164,103813,15763,294232,31.946843512235255
78568,43002,30803,344444,21.128194684858975
52201,29254,24143,284557,21.52056474013908
24837,13152,10624,119101,19.61005757539156
58164,12958,8765,219877,0.0
15458,13721,1863,6866,46.98149825333161
38092,16347,10650,135199,14.894334768455316
107390,15989,33607,34758,18.34379364931558
99325,81158,13673,449273,23.744827586206895
31404,13611,10158,155826,9.799388612915553
130827,7929,34216,773270,0.0
139387,15989,78151,581067,7.318867613192047
122888,5457,40551,181223,8.046147711737518
33703,18330,477,66258,17.929857876153456
100550,84146,30175,362954,35.79840875186475
75308,19862,42292,330411,13.713350507250226
75978,75512,33152,9595,66.51537287109427
68533,40058,20908,182329,28.12623115871186
57381,22506,1819,325587,0.0
86402,83508,30303,102890,56.39996759334275
126552,26054,1971,407159,0.0
73156,70071,21253,415088,34.51213844387337
64144,21557,29371,55213,30.81543090546271
58046,50687,9599,291622,25.275815732350203
110982,95171,56412,230708,52.81478077526085
70546,64998,18385,418201,31.492217843676464
56298,19047,11942,224541,5.458897296529184
64821,41578,27859,319786,24.595887135341943
26355,17276,6698,48534,33.73363688104725
68269,39831,32102,142560,37.54017196677848
56911,29891,2922,204606,10.338950290804938
24676,21037,10712,70481,45.70939374290809
36481,19435,11952,58838,31.677859707793097
138250,61637,28773,770010,5.616781193490056
73910,37174,6313,91287,22.389189554864025
129094,64526,40760,216345,29.24206392241312
123175,49568,67491,368657,27.073310330830125
127412,21396,22394,530463,0.0
79616,63296,33310,309843,37.027544714630224
69007,22830,15202,286946,4.562580607764435
127952,49357,52021,270605,24.97549862448418
146737,29605,36548,810051,0.0
117865,113374,48068,686915,39.407754634539515
25413,10979,3781,140624,2.552433793727623
142124,78107,60345,673916,20.75349694632856
126151,63956,33651,152536,29.973285982671566
108745,90694,58756,259041,51.40222538967308
146587,73817,1845,355810,13.54553950896055
60725,24580,9108,44035,22.612515438452036
131004,127139,29973,289349,46.6331180727306
57217,30674,31811,37977,45.72513413845535
35334,15860,9007,105757,17.674053319748683
30845,24188,4924,27434,41.147349651483225
60664,56978,27255,16109,63.60535078464988
22616,12375,5193,135163,11.54359745313053
144132,73070,6896,15797,26.714088474453973
61044,36736,13955,158386,26.260893781534634
131502,15646,10564,764174,0.0
82044,61176,2740,188947,27.10332260738141
77374,17930,45942,108397,28.33245017706206
67235,18113,13178,315240,0.0
27175,24104,15467,59160,56.23109475620975
78015,20540,37478,45073,29.491187592129723
75319,33810,18618,102302,25.54083299034772
137573,37404,62323,465687,14.789857021363204
32020,30133,93,133868,26.26577139287945
30758,19102,2096,57140,24.489238572078808
47741,13478,2730,134759,2.289541484258814
87831,25002,29757,515235,2.7849506438501237
65905,64044,11002,237413,37.25385023898035
100754,35455,8644,42384,18.923218929273283
87721,68902,40590,416283,34.05438834486611
65615,12238,22792,140494,12.514059285224416
16230,9977,2574,73120,14.553912507701792
93627,80770,22539,455598,28.43271705811358
72650,28996,17311,293833,9.264624913971094
43784,31228,14280,224376,23.70729033436872
51740,24666,14893,101690,25.523192887514497
97081,93168,27249,267759,45.42150369279261
146842,139064,16133,8267,51.46473760913091
65504,12998,31597,110519,20.780181362970204
133277,15664,26605,645213,0.0
42468,41536,6084,96154,43.31237637750777
148280,59187,58413,332675,24.497538440787697
103331,88865,24697,303212,37.88862974325227
75675,15296,30836,178878,14.586719524281468
22732,15345,8047,87411,28.685333450642272
119392,12905,24663,532395,0.0
105282,72324,53073,65464,51.40289888110028
82103,58761,28684,468080,24.7595702958479
144245,139027,42836,635476,38.042289160802795
56873,33523,9062,41869,32.16438380250734
129866,93985,29349,505495,25.76297876272465
104210,13289,30982,82351,14.317004126283468
105979,47393,62006,114284,40.370922541258174
125535,56794,50779,240057,29.23945513203489
131521,57062,65973,561692,20.404041940070407
42633,6605,8791,149864,0.0
113850,65743,45036,58782,42.11400966183575
104051,90322,16023,272281,36.478409626048766
101566,61734,33852,76322,39.9658350235315
63014,49125,24614,119823,45.096248452724794
22246,6258,11907,29839,28.768542659354495
16688,7316,8671,33715,32.60216922339406
24073,5774,6870,90161,4.681385784904251
36971,13192,15757,20561,32.10827405263585
103412,16723,30564,201852,10.148241983522219
107574,48239,24509,451361,10.555571048766435
83749,45585,23357,424869,13.370965623470134
79496,35791,36498,304504,21.723734527523398
141819,123808,74679,185759,58.16403302801458
55477,54153,26986,137452,55.875948591308116
129387,96376,27001,123611,40.81387620085481
63987,35856,9438,378206,8.918139622110743
84865,32474,20479,138530,20.62346079066753
57404,42991,23973,142718,41.71974078461432
29119,12149,7225,2809,30.303410144579143
138127,37378,6966,20655,14.799894300173031
52342,51025,23791,226559,45.28094073592908
27207,23751,5597,142517,26.87745800713052
31182,27900,9167,169394,31.49669681226348
67536,54762,10850,297923,24.912417081260365
57649,44701,19452,287050,27.37046609654981
135329,82230,37054,386891,27.039326382371847
115207,46349,52525,474182,17.7727047835635
42983,31740,23401,127789,43.83349231091361
95248,38915,6409,236607,10.699174785822276
109175,53639,50986,534334,18.774627891000687
28775,23918,12153,142856,33.631277150304086
60585,8426,15371,2173,16.92291821407939
126496,30339,58730,6057,30.32400233999494
107254,31695,12776,201057,10.167499580435226
106700,59449,47566,53485,43.183364573570756
148559,76391,80247,853398,22.31742943880883
141357,70583,80298,42301,46.19201737444909
120407,40551,29050,525018,4.687933425797503
53173,46160,3235,309313,20.839053655050492
124380,6071,65759,167215,16.86633703167712
30239,13976,15599,68181,32.469823737557455
30633,28346,13076,118171,44.05330852348774
15487,7036,3203,52242,14.122166978756375
65804,62083,32005,392135,41.62740866816607
38794,23976,16060,153958,27.61793060782595
146589,74811,27862,671047,10.231292934667675
69401,67812,36644,129136,60.67174824570251
66833,59169,22463,331087,32.940837610162646
116322,85339,9043,682420,14.791870841285402
82385,74694,13713,72118,47.61340049766341
64540,29723,36710,356615,20.77858692283855
35359,23032,2077,7983,33.78955852823892
112478,94793,64723,94849,60.93925034228916
87997,82034,44941,326483,48.48943713990249
58460,16191,33294,336795,11.628634964078003
124643,98873,4385,520033,20.20879632229648
131968,33113,42859,8564,25.212096871968964
60343,58115,31176,289136,44.86203867888571
139994,85201,23762,214483,29.559231109904708
113278,23602,37001,377354,6.827186214445874
102709,82609,36744,176905,45.91306506732614
108551,30973,33931,279370,13.901668340227175
48952,26539,10186,237668,11.154804706651412
118030,46219,31658,666461,5.308141997797172
37032,23410,2410,26377,30.649573341974506
91843,42338,669,527072,0.0
88808,22774,26041,159663,15.561942617782183
135828,58514,38132,452711,16.104374650293018
106627,34150,12281,419306,0.9585752201600002
64863,8806,19177,322573,0.0
17872,5650,1614,46611,6.378972694717994
43092,25112,12063,12107,38.93031189083821
106700,100078,42030,255845,50.664245548266166
129740,119453,76748,386478,54.803298905503325
41187,17463,12677,86009,23.07002209435016
122274,77080,16282,482909,17.098769975628507
45042,10262,25855,116601,21.40879623462546
129380,63110,47219,88828,35.555108981295405
28992,5706,1780,30611,7.017280629139075
47024,43618,10564,99595,44.774689520244976
141922,61917,7649,40370,22.547314722171333
118028,51844,27154,57960,28.709797675127934
85587,71971,17880,457667,25.40193019967986
49463,34931,2532,267835,12.357823019226494
101228,94421,6890,276054,35.72509582329
127388,124403,66625,52356,67.693738813703
122470,60619,51210,390893,25.515514003429413
108444,101493,39933,162016,54.054535059569915
104265,57309,258,552480,2.581355200690549
28511,25262,14124,149262,39.11770895443864
139661,87335,28851,788037,14.529933195380238
145599,38122,51790,769956,2.3195557661797146
69135,63543,18229,173890,43.92652057568526
93519,14500,18593,248968,2.393952031138058
97084,24051,33464,360275,7.619535659840963
108406,43453,30326,271841,18.693476375846355
55791,39288,4921,314498,13.738147729920598
97804,81692,8446,167163,36.671557400515326
133662,17579,44721,740535,0.0
142855,119511,32636,455422,35.027685415281226
124806,119609,65379,8984,68.51185039180808
32218,20167,1065,80854,20.072009435719163
38257,33435,11612,121456,39.965235120370124
98164,93388,45048,167964,57.36828165111446
118565,27520,50010,313906,15.239488887951756
92801,85086,53123,463584,43.76353703085096
80860,6108,41259,250198,8.715928765767995
110947,101422,35440,87209,54.55447195507765
51976,37653,17376,151830,34.988071417577345
55749,15906,20692,219799,9.399002672693676
96003,60956,35141,388266,26.166994781413084
105998,84514,59116,64625,59.125785392177214
27998,23534,5839,48743,41.66529752125152
114681,17797,40280,591368,0.0
44174,22862,24986,198422,26.043147552859143
125130,111347,25136,654616,27.5276912011508
89607,9707,39827,476504,0.0
86162,68008,18820,143812,39.85678141175924
113957,7827,13916,548608,0.0
77929,7348,23882,442926,0.0
147248,46186,47839,295317,18.65067776811909
94577,11596,42992,358124,5.380377893145269
60463,26447,14726,223251,13.15076989233085
76996,69980,31265,347066,39.148397319341264
103612,28498,29409,369952,7.253020885611704
47080,30201,2509,131016,20.291631265930327
30075,22683,6878,79986,33.56076475477971
143981,12410,27216,403377,0.0
129762,17206,54779,465498,5.579214253787704
134473,105958,68132,521147,40.28648873751608
131897,50653,75067,189189,34.79521899664132
16151,9436,7033,3529,45.53742802303263
27675,5747,3537,53923,5.753026196928635
84296,37472,42719,418923,17.64905808104774
121850,64868,14205,437430,13.331555190808366
43376,23992,24452,65090,42.70172445592033
29040,11656,3704,33714,19.36604683195592
30529,11931,1197,136620,0.0
21099,11766,9180,69875,28.72766481823783
135730,18931,25798,733600,0.0
114423,70591,15386,443388,16.850196201812572
100606,84047,58001,416411,44.135886527642484
16967,9661,8564,72495,27.296222078151704
147433,118539,2001,793541,15.743863314183386
82785,37621,35630,431870,14.937790662559642
137430,67323,41359,437937,20.598304591428363
149974,40949,23124,628386,0.0
84000,21942,40800,350744,11.611666666666665
81336,70977,17293,99801,46.001340119996065
83365,82729,15731,350612,36.13782762550231
66651,30607,8444,347773,3.0282366356093675
69955,55658,41699,266058,44.60824815953113
60789,60058,10168,342340,31.089424073434344
41576,29651,23328,179325,36.53658360592649
65535,57327,2827,198803,30.29549095902953
47177,43322,21805,55713,58.497466986031334
102563,19252,3967,585809,0.0
28741,5744,10651,124698,3.1227166765248207
60882,41435,29767,231123,34.604891429322294
42667,15417,17105,10847,32.83134506761666
66720,57119,36039,166814,51.91007194244603
24320,13118,8782,16439,38.03392269736842
147683,109580,23934,549243,24.986931468076897
109400,13112,12641,378027,0.0
102618,27547,55670,344553,18.33386930168197
114102,60591,30900,46322,35.35380624353648
141409,105459,72889,594743,36.877391113719774
29087,18934,968,66861,22.3850861209475
130821,116872,27032,712646,27.934009065822764
46740,21372,22095,223444,17.868635002139495
54941,23545,26098,227498,19.724431663056727
24077,14557,2763,81473,17.901108942143953
107749,53300,56739,154381,38.63288754419995
20497,19646,5838,46130,48.064106942479384
101179,31682,5682,192084,8.410440901768153
45172,32528,23721,133160,42.27043301160012
87186,48255,42833,132671,39.716410891656906
99702,27900,30933,159380,18.40905899580751
140420,62909,11978,536925,6.693811422874237
98802,61534,32866,304736,29.02431124876015
138358,68992,15185,57287,27.252236950519666
71530,59390,17780,124476,42.75576681112819
124205,47396,72067,459811,23.778632100156997
37863,12348,20259,88440,26.029633151097375
57996,5355,3021,247467,0.0
137995,15556,78329,818704,3.3413167143737112
56289,35887,3254,313579,9.189806178827126
103908,35903,57491,594323,14.407841552142287
149304,62626,56387,199515,29.397772330279164
117861,17066,2029,41091,6.185294541875599
108584,104047,48672,321670,51.0285124880277
106486,20619,47288,511860,3.4104952763743626
86498,78427,15270,427160,27.704108765520594
118833,33308,5415,644135,0.0
75158,55809,32100,437796,29.211793821017054
134523,19531,19572,804191,0.0
139709,85618,40358,247327,33.34491693448525
44307,8118,6308,114258,1.9619924616877693
135550,65251,68309,767965,19.226558465510877
106272,23418,16435,221252,6.794263775971093
109344,87195,33010,424530,32.53493561603746
134960,29600,11824,539256,0.0
91969,23827,51234,412577,12.80676097380639
20557,18758,3595,7914,50.694653889186164
109592,77238,25837,175989,36.63985509891232
24458,12742,5529,105053,13.61497260610026
22492,15726,10584,110637,29.187044282411527
107314,87813,6248,48226,40.99595579327953
103497,18944,28656,368935,2.4035962395045303
23374,16912,273,91405,17.091426371181655
102339,97777,34959,195942,51.86194901259539
129731,72237,14167,653233,7.2091867017135485
42074,40839,12710,246895,35.61581974616153
95653,41708,50749,143843,35.504845639969474
52212,8639,31128,123515,20.292174212824637
65785,37688,5854,65779,27.204757923538807
137811,67824,8212,662439,2.956839439522245
66457,59303,39236,129438,58.49496667017772
46592,46335,21459,114344,55.876330700549445
80304,71282,35660,117137,54.85175084678223
21923,11314,8291,82102,22.20635861880217
101341,76461,28517,422875,28.116507632646208
90538,84880,25991,446498,33.70021427466919
98576,70188,22452,411392,23.84474922902126
86792,53982,17016,262222,23.83433957046732
144112,103508,65117,123674,49.695445209281665
62386,50323,23003,179489,40.695428461513806
28429,5104,5863,64585,5.867072355693129
83774,24744,6351,114405,10.972557117960227
119609,53595,48981,607173,13.784623230693342
66368,35541,36771,40971,45.85093719864996
34076,28413,19345,166000,40.04137809602065
51248,26821,9149,98604,23.688534186699968
90170,14561,44664,348788,8.5468559387823
63724,48776,8083,98261,35.63516100684201
115994,47288,6442,98340,18.36629480835216
55236,37014,18831,292748,22.14208125135781
75362,19013,33761,373296,5.766964783312545
76042,22336,44658,306647,18.014847058204673
21101,7157,6537,45003,18.68702905075589
69371,23420,3921,182453,5.990615675138027
108413,100943,50217,477055,43.081134181325126
33539,21398,13474,174896,22.96982617251558
50240,40433,18715,97505,45.43640525477707
34417,26031,14742,119453,37.596681872330535
116110,111487,16014,363525,37.87171647575575
119072,81138,47579,527406,27.907736495565707
124632,88482,16648,90564,37.207137813723605
126651,19530,69813,597042,6.188739133524415
94256,39870,21333,178923,20.711731879137666
146125,46732,45071,204317,21.336903336184776
62792,42105,33385,90817,47.56282647471016
63120,8460,33689,117126,18.772655259822557
75717,69932,20743,71705,52.402961025925485
119059,6783,36932,638673,0.0
96308,88355,30278,55360,55.572434273372934
73077,18591,2950,340467,0.0
21317,20458,3974,111149,30.442135384904063
115139,19473,56464,585592,3.0722431148437934
70667,48845,39369,309585,34.9397172654846
117824,94939,39866,507593,32.2822599809886
76982,68475,18669,17941,53.00985944766309
107010,21443,42672,230788,15.186337725446222
133182,18721,50368,391978,7.440044450451262
70831,6465,6286,185896,0.0
80092,73383,30975,229268,46.96861109723818
123162,65676,28100,62321,33.258594371640605
87297,72913,48163,498858,38.830028523316955
31181,20324,7706,92911,27.577210480741478
104677,60964,18357,506796,11.92716642624454
96512,24093,17347,279270,5.203290782493372
136583,38849,25056,202808,14.13536091607301
70621,31327,10433,154756,17.132156157516885
114674,85275,564,374071,21.06802762614019
84277,58348,17229,228993,29.208384256677387
133712,30839,22261,770303,0.0
102034,59463,44959,126980,40.54148617127624
57181,50558,3500,76498,39.967996362428075
127550,74864,76402,752166,28.30678165425323
112188,98214,36090,436786,37.17304881092453
43157,7017,19454,150695,8.70160113075515
57695,8741,8383,258032,0.0
64673,50655,11642,363803,21.36293352712879
89818,80501,4079,513573,21.629962813689907
48827,48384,22108,291890,42.65764843221987
55130,33819,17539,261243,19.704244512969346
82396,23962,22193,50094,22.274746346910046
128475,28974,59647,650512,4.846896283323606
24758,23029,14023,28517,63.40516196784877
46970,27299,9189,107199,25.47402597402597
68744,18328,9830,408052,0.0
127119,7418,49875,621788,0.0
144333,80127,82288,76734,47.90449862470814
136803,80159,7072,429501,15.667236829601691
30769,6005,5047,100259,0.02713770353277667
115368,38925,62690,366623,22.71630781499202
15775,6185,6325,58510,17.096671949286844
88310,43562,31663,60434,35.584305288189334
137807,81088,54105,379081,31.371374458481792
16867,8057,1006,12710,22.501926839390524
140674,96948,11095,441650,21.915563643601516
115922,59128,51097,604657,18.1348665481962
44314,24659,23893,262289,24.390034751997113
62273,47464,2747,363725,14.87410274115588
90736,18523,42967,14662,28.340680655968963
28662,9832,7982,110615,8.994661921708182
135294,60142,26527,646397,6.180577113545315
97269,30448,8672,295912,4.006620814442421
48550,32620,10377,186384,22.948712667353245
38876,6587,10392,213077,0.0
18982,17178,2706,54401,36.62074596986619
75501,11327,17489,52354,13.299691394815959
78419,8384,16697,201786,0.9965697088715739
121582,94057,12255,342184,28.64017699988485
33479,15664,12866,172345,13.765793482481556
54629,49526,23282,252796,39.2392319097915
75766,41016,17735,310653,15.929770609508218
37917,10944,6382,8202,20.082548724846376
87708,70390,3303,256834,26.992406621972908
107957,65075,33357,108976,37.45148531359708
95482,5431,49787,5328,23.42211097379611
71420,28093,10163,380625,0.3594231307756921
27385,7922,1518,77420,2.5459192988862522
116888,33264,48271,298343,17.985806926288415
79106,26053,42349,171448,27.044345561651454
92081,26212,10833,393877,0.0
80864,72141,45683,157318,57.47650375939851
114003,105310,52883,81926,61.149180284729354
129843,45414,28036,387054,11.220242908743636
114219,42135,2930,208696,10.335145641268088
22812,13506,7299,123311,17.401367701209892
27796,11591,6637,60631,19.494711469276155
125980,66818,41473,414005,23.256032703603747
84600,77059,5753,489345,23.263238770685575
26499,6605,14408,106654,14.087324049964149
71227,15011,32317,123682,20.003931093545987
60372,48583,32636,43310,58.272709202941755
34299,31902,19275,146068,47.691186331963046
127278,22109,1847,296819,0.0
99657,64152,42941,308327,33.95250709935078
28152,11596,9129,120554,12.155086672350102
34098,10484,4801,144344,0.0
81738,26215,3598,358250,0.0
88490,75918,40400,425818,37.09809017968132
130905,83358,76422,402642,39.81184828692563
130029,67417,15270,354890,16.974674880219027
140391,53658,49998,20150,32.63791838508166
64931,9876,24576,1977,22.592521291832867
61806,17253,30869,230047,15.324968449665079
54352,15800,7157,34396,16.637842213717988
89527,27012,50456,200891,26.409742312375045
23093,5988,3122,45948,8.424197808859828
66277,38456,3362,47562,27.452509920485237
106802,18849,27649,519225,0.0
59048,34672,17478,40701,37.7525911123154
146903,50384,83835,880292,14.9760386105117
123308,70039,36072,480921,20.600650403866744
138092,76317,55284,97752,40.10695768038699
108891,19680,12379,606558,0.0
53814,20156,27191,297922,13.938566172371502
31427,8487,9397,173802,0.46313679320329726
72771,24485,42244,268305,21.60867653323439
89566,26072,51117,103451,31.608255364758946
47502,40297,5360,50474,41.616774030567136
57588,46691,1105,280472,16.954747516843785
43792,10966,22344,58103,26.2957846181951
135654,134538,56872,527260,46.92438114615123
137090,27178,11430,12658,12.785834123568458
28857,24331,1048,108328,24.84076653844821
78081,10581,18140,449445,0.0
75399,20255,26035,388433,2.2437300229446038
126528,110131,5115,437611,27.84439017450683
34066,12146,11348,93142,17.48106616567839
82779,76799,40730,402877,41.73479988886069
42176,23737,3955,97687,20.310484635811832
35993,17793,3571,74094,18.393020865168225
124600,108223,59070,318583,49.60702247191011
88942,35601,29629,474736,8.338692631152888
40006,19946,23821,119028,33.869919512073196
24284,14454,11669,75096,33.5191895898534
110168,19820,1656,302724,0.0
42785,30078,18346,185369,30.639125861867477
61421,29443,5236,289419,3.8178310349880356
79123,15034,8536,303186,0.0
62720,39911,7308,331518,11.477519132653057
47655,30943,12145,70959,35.21466792571608
78698,66731,46808,405880,41.18808610129864
98047,39704,15227,261130,13.142982447193695
143947,17858,45221,481399,2.0475939060904373
66507,56068,4283,78600,38.81877095644067
91186,81104,4224,474797,21.32465510056368
74500,55943,20256,128891,39.77093959731543
137044,8356,57423,291122,9.187633168909255
99933,16293,41069,353009,6.928291955610259
121885,114084,56521,28225,64.19095869056898
63749,34333,25015,155424,30.43388915904563
135906,62706,78544,186928,39.30966991891454
32938,9146,11342,147988,5.1927864472645595
33269,19528,14556,57499,38.20809161682047
130129,45217,75504,128250,35.655080727585705
120352,59942,5004,569913,2.8889839803243866
129154,14943,2482,516121,0.0
104456,36392,37412,572491,6.746189783258025
64902,31003,18331,116430,26.212443376167148
101483,71203,33062,582674,23.11278736340077
28313,11770,5669,152865,3.794546674672411
16887,10817,4282,85059,17.170308521347778
16173,10033,1285,2276,33.492240153341996
147102,76669,12514,662622,6.940082391809767
85641,65584,46976,217468,47.53447530972315
62719,12783,25652,135924,15.714695706245315
24375,16676,9447,84219,32.43425641025641
115812,101139,60719,458826,44.827651711394324
41384,8671,3687,30213,10.389643340421419
78452,9875,30950,157004,12.067633712333656
59954,29936,35971,164809,35.22025219334824
59395,19139,11907,33098,21.344220894014647
52943,23638,8928,186806,11.427195285495724
101516,54563,49104,538765,21.222368887663023
38099,9043,8235,4177,19.965484658389983
77696,55300,11423,215526,27.59846066721581
23542,6544,7124,118225,1.00288845467675
27389,12150,2397,51817,16.221658329986493
39812,29348,5558,42248,37.13654174620718
91335,9406,32878,104339,13.836152624952101
83065,19557,12793,24517,16.456810931198458
41244,23323,18875,216348,21.58010862186015
98606,63778,58605,455019,33.04063647242561
97048,11284,25999,311847,0.4629152584288221
38408,22399,22360,69440,43.40632159966673
113692,10256,62599,373540,10.106779720648774
132523,56990,26817,791950,4.596221033330064
123193,35127,24853,126102,17.208445285040547
141392,138246,54923,623978,42.35975161253819
68855,48697,21653,60927,43.51659284002614
49965,40729,26406,122514,49.63714600220155
21814,15652,10236,64944,39.75978729256441
90230,58921,31737,525700,21.719827108500496
119264,80591,9326,454443,17.86268278776496
108266,19910,54304,349828,13.102174274472134
121115,82262,65565,492056,35.3004995252446
132011,21408,969,748116,0.0
108791,27223,61627,187814,26.53859234679339
27018,6263,10183,14791,23.9290473017988
75168,21360,43653,387089,12.437739463601531
148023,62872,961,212857,14.306932030833046
115831,81915,65028,356431,42.430048950626336
125405,75323,43565,117428,39.24572385471074
68894,33782,20773,277680,16.42552326762853
138042,23160,65861,684744,2.671071123281319
122074,31927,121,127125,7.9096695447023935
81811,60588,42695,204838,45.38521714683845
54125,32855,16206,131335,30.195196304849887
133286,99359,76002,792745,35.081553951652836
